name,typ,quelle_url,webseite,bundesland
Aach,Stadt,https://www.staatsanzeiger.de/kommunen/aach/,http://www.aach.de/,Baden-Württemberg
Aalen,Stadt,https://www.staatsanzeiger.de/kommunen/aalen/,http://www.aalen.de/,Baden-Württemberg
Abstatt,Gemeinde,https://www.staatsanzeiger.de/kommunen/abstatt/,http://www.abstatt.de/,Baden-Württemberg
Abtsgmünd,Gemeinde,https://www.staatsanzeiger.de/kommunen/abtsgmuend/,http://www.abtsgmuend.de/,Baden-Württemberg
Achberg,Gemeinde,https://www.staatsanzeiger.de/kommunen/achberg/,http://www.achberg.de/,Baden-Württemberg
Achern,Stadt,https://www.staatsanzeiger.de/kommunen/achern/,http://www.achern.de/,Baden-Württemberg
Achstetten,Gemeinde,https://www.staatsanzeiger.de/kommunen/achstetten/,http://www.achstetten.de/,Baden-Württemberg
Adelberg,Gemeinde,https://www.staatsanzeiger.de/kommunen/adelberg/,http://www.adelberg.de/,Baden-Württemberg
Adelmannsfelden,Gemeinde,https://www.staatsanzeiger.de/kommunen/adelmannsfelden/,http://www.adelmannsfelden.de/,Baden-Württemberg
Adelsheim,Stadt,https://www.staatsanzeiger.de/kommunen/adelsheim/,http://www.adelsheim.de/,Baden-Württemberg
Affalterbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/affalterbach/,http://www.affalterbach.de/,Baden-Württemberg
Aglasterhausen,Gemeinde,https://www.staatsanzeiger.de/kommunen/aglasterhausen/,http://www.aglasterhausen.de/,Baden-Württemberg
Ahorn,Gemeinde,https://www.staatsanzeiger.de/kommunen/ahorn/,http://www.gemeindeahorn.de/,Baden-Württemberg
Aichelberg,Gemeinde,https://www.staatsanzeiger.de/kommunen/aichelberg/,http://www.aichelberg.de/,Baden-Württemberg
Aichhalden,Gemeinde,https://www.staatsanzeiger.de/kommunen/aichhalden/,http://www.aichhalden.de/,Baden-Württemberg
Aichstetten,Gemeinde,https://www.staatsanzeiger.de/kommunen/aichstetten/,http://www.aichstetten.de/,Baden-Württemberg
Aichtal,Stadt,https://www.staatsanzeiger.de/kommunen/aichtal/,http://www.aichtal.de/,Baden-Württemberg
Aichwald,Gemeinde,https://www.staatsanzeiger.de/kommunen/aichwald/,http://www.gemeinde-aichwald.de/,Baden-Württemberg
Aidlingen,Gemeinde,https://www.staatsanzeiger.de/kommunen/aidlingen/,http://www.aidlingen.de/,Baden-Württemberg
Aitern,Gemeinde,https://www.staatsanzeiger.de/kommunen/aitern/,http://www.aitern.de/,Baden-Württemberg
Aitrach,Gemeinde,https://www.staatsanzeiger.de/kommunen/aitrach/,http://www.aitrach.de/,Baden-Württemberg
Albbruck,Stadt,https://www.staatsanzeiger.de/kommunen/albbruck/,http://www.albbruck.de/,Baden-Württemberg
Albershausen,Gemeinde,https://www.staatsanzeiger.de/kommunen/albershausen/,http://www.albershausen.de/,Baden-Württemberg
Albstadt,Stadt,https://www.staatsanzeiger.de/kommunen/albstadt/,http://www.albstadt.de/,Baden-Württemberg
Aldingen,Gemeinde,https://www.staatsanzeiger.de/kommunen/aldingen/,http://www.aldingen.de/,Baden-Württemberg
Alfdorf,Gemeinde,https://www.staatsanzeiger.de/kommunen/alfdorf/,http://www.alfdorf.de/,Baden-Württemberg
Allensbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/allensbach/,http://www.allensbach.de/,Baden-Württemberg
Alleshausen,Gemeinde,https://www.staatsanzeiger.de/kommunen/alleshausen/,http://www.alleshausen.de/,Baden-Württemberg
Allmannsweiler,Gemeinde,https://www.staatsanzeiger.de/kommunen/allmannsweiler/,http://www.allmannsweiler-bc.de/,Baden-Württemberg
Allmendingen,Gemeinde,https://www.staatsanzeiger.de/kommunen/allmendingen/,http://www.allmendingen.de/,Baden-Württemberg
Allmersbach im Tal,Gemeinde,https://www.staatsanzeiger.de/kommunen/allmersbach-im-tal/,http://www.allmersbach.de/,Baden-Württemberg
Alpirsbach,Stadt,https://www.staatsanzeiger.de/kommunen/alpirsbach/,http://www.alpirsbach.de/,Baden-Württemberg
Altbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/altbach/,http://www.altbach.de/,Baden-Württemberg
Altdorf (bei Böblingen),Gemeinde,https://www.staatsanzeiger.de/kommunen/altdorf-bei-boeblingen/,http://www.altdorf-bb.de/,Baden-Württemberg
Altdorf (bei Nürtingen),Gemeinde,https://www.staatsanzeiger.de/kommunen/altdorf-bei-nuertingen/,http://www.gemeinde-altdorf.de/,Baden-Württemberg
Altenriet,Gemeinde,https://www.staatsanzeiger.de/kommunen/altenriet/,http://www.altenriet.de/,Baden-Württemberg
Altensteig,Stadt,https://www.staatsanzeiger.de/kommunen/altensteig/,http://www.altensteig.de/,Baden-Württemberg
Altheim (Alb),Gemeinde,https://www.staatsanzeiger.de/kommunen/altheim-alb/,https://www.estellen.de/,Baden-Württemberg
Altheim (bei Ehingen),Gemeinde,https://www.staatsanzeiger.de/kommunen/altheim-bei-ehingen/,https://www.Altheim-Info.de,Baden-Württemberg
Altheim (bei Riedlingen),Gemeinde,https://www.staatsanzeiger.de/kommunen/altheim-bei-riedlingen/,http://www.gemeinde-altheim.de/,Baden-Württemberg
Althengstett,Gemeinde,https://www.staatsanzeiger.de/kommunen/althengstett/,http://www.althengstett.de/,Baden-Württemberg
Althütte,Gemeinde,https://www.staatsanzeiger.de/kommunen/althuette/,http://www.althuette.de/,Baden-Württemberg
Altlußheim,Gemeinde,https://www.staatsanzeiger.de/kommunen/altlussheim/,http://www.altlussheim.de/,Baden-Württemberg
Altshausen,Gemeinde,https://www.staatsanzeiger.de/kommunen/altshausen/,http://www.altshausen.de/,Baden-Württemberg
Ammerbuch,Gemeinde,https://www.staatsanzeiger.de/kommunen/ammerbuch/,http://www.ammerbuch.de/,Baden-Württemberg
Amstetten,Gemeinde,https://www.staatsanzeiger.de/kommunen/amstetten/,http://www.amstetten.de/,Baden-Württemberg
Amtzell,Gemeinde,https://www.staatsanzeiger.de/kommunen/amtzell/,http://www.amtzell.de/,Baden-Württemberg
Angelbachtal,Gemeinde,https://www.staatsanzeiger.de/kommunen/angelbachtal/,http://www.angelbachtal.de/,Baden-Württemberg
Appenweier,Gemeinde,https://www.staatsanzeiger.de/kommunen/appenweier/,http://www.appenweier.de/,Baden-Württemberg
Argenbühl,Gemeinde,https://www.staatsanzeiger.de/kommunen/argenbuehl/,http://www.argenbuehl.de/,Baden-Württemberg
Aspach,Gemeinde,https://www.staatsanzeiger.de/kommunen/aspach/,http://www.aspach.de/,Baden-Württemberg
Asperg,Stadt,https://www.staatsanzeiger.de/kommunen/asperg/,http://www.asperg.de/,Baden-Württemberg
Assamstadt,Gemeinde,https://www.staatsanzeiger.de/kommunen/assamstadt/,http://www.assamstadt.de/,Baden-Württemberg
Asselfingen,Gemeinde,https://www.staatsanzeiger.de/kommunen/asselfingen/,http://www.asselfingen.de/,Baden-Württemberg
Attenweiler,Gemeinde,https://www.staatsanzeiger.de/kommunen/attenweiler/,http://www.attenweiler.de/,Baden-Württemberg
Au (Breisgau),Gemeinde,https://www.staatsanzeiger.de/kommunen/au-breisgau/,http://www.au-hexental.de,Baden-Württemberg
Au am Rhein,Gemeinde,https://www.staatsanzeiger.de/kommunen/au-am-rhein/,http://www.auamrhein.de/,Baden-Württemberg
Auenwald,Gemeinde,https://www.staatsanzeiger.de/kommunen/auenwald/,http://www.auenwald.de/,Baden-Württemberg
Auggen,Gemeinde,https://www.staatsanzeiger.de/kommunen/auggen/,http://www.auggen.de/,Baden-Württemberg
Aulendorf,Stadt,https://www.staatsanzeiger.de/kommunen/aulendorf/,http://www.aulendorf.de/,Baden-Württemberg
Backnang,Stadt,https://www.staatsanzeiger.de/kommunen/backnang/,http://www.backnang.de/,Baden-Württemberg
Bad Bellingen,Gemeinde,https://www.staatsanzeiger.de/kommunen/bad-bellingen/,http://www.gemeinde-bad-bellingen.de/,Baden-Württemberg
Bad Boll,Gemeinde,https://www.staatsanzeiger.de/kommunen/bad-boll/,http://www.bad-boll.de/,Baden-Württemberg
Bad Buchau,Stadt,https://www.staatsanzeiger.de/kommunen/bad-buchau/,http://www.badbuchau.de,Baden-Württemberg
Bad Ditzenbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/bad-ditzenbach/,http://www.bad-ditzenbach.de/,Baden-Württemberg
Bad Dürrheim,Stadt,https://www.staatsanzeiger.de/kommunen/bad-duerrheim/,http://www.bad-duerrheim.de,Baden-Württemberg
Bad Friedrichshall,Stadt,https://www.staatsanzeiger.de/kommunen/bad-friedrichshall/,http://www.bad-friedrichshall.de/,Baden-Württemberg
Bad Herrenalb,Stadt,https://www.staatsanzeiger.de/kommunen/bad-herrenalb/,http://www.badherrenalb.de/,Baden-Württemberg
Bad Krozingen,Stadt,https://www.staatsanzeiger.de/kommunen/bad-krozingen/,http://www.bad-krozingen.de/,Baden-Württemberg
Bad Liebenzell,Stadt,https://www.staatsanzeiger.de/kommunen/bad-liebenzell/,http://www.bad-liebenzell.de/,Baden-Württemberg
Bad Mergentheim,Stadt,https://www.staatsanzeiger.de/kommunen/bad-mergentheim/,http://www.bad-mergentheim.de/,Baden-Württemberg
Bad Peterstal-Griesbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/bad-peterstal-griesbach/,https://www.estellen.de/,Baden-Württemberg
Bad Rappenau,Stadt,https://www.staatsanzeiger.de/kommunen/bad-rappenau/,http://www.badrappenau.de/,Baden-Württemberg
Bad Rippoldsau-Schapbach,Gemeinde,https://www.staatsanzeiger.de/kommunen/bad-rippoldsau-schapbach/,https://www.estellen.de/,Baden-Württemberg
