name,typ,quelle_url,webseite,bundesland
Abenberg,Stadt,https://www.bayernportal.de/dokumente/behoerde/40997963439,http://www.stadt-abenberg.de,Bayern
Abensberg,Stadt,https://www.bayernportal.de/dokumente/behoerde/24220186439,https://www.abensberg.de,Bayern
Absberg,Markt,https://www.bayernportal.de/dokumente/behoerde/39442185487,https://www.absberg.de,Bayern
Abtswind,Markt,https://www.bayernportal.de/dokumente/behoerde/56219962487,http://www.abtswind.de,Bayern
Achslach,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/72997739487,http://www.achslach.de,Bayern
Adelschlag,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/89775516487,https://www.adelschlag.de,Bayern
Adelsdorf,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/06553293488,https://www.adelsdorf.de,Bayern
Adelshofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/23331070488,http://www.gemeinde-adelshofen.de,Bayern
Adelshofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/40108847488,https://www.adelshofen.de,Bayern
Adelsried,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/56886624488,https://www.gemeinde-adelsried.de,Bayern
Adelzhausen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/73664401488,http://www.adelzhausen.de,Bayern
Adlkofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/90442178488,http://www.adlkofen.de,Bayern
Affing,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/07219955489,http://www.affing.de,Bayern
Aham,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/23997732489,http://www.gerzen.de,Bayern
Aholfing,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/40775509489,http://www.aholfing.de,Bayern
Aholming,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/57553286489,https://www.aholming.de,Bayern
Ahorn,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/74331063489,http://www.ahorn.de,Bayern
Ahorntal,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/91108840489,https://www.ahorntal.de,Bayern
Aicha vorm Wald,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/07886617490,https://aichavormwald.de,Bayern
Aichach,Stadt,https://www.bayernportal.de/dokumente/behoerde/59109064441,http://www.aichach.de,Bayern
Aichen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/24664394490,https://www.vgziemetshausen.de,Bayern
Aidenbach,Markt,https://www.bayernportal.de/dokumente/behoerde/41442171490,http://www.aidenbach.de,Bayern
Aidhausen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/58219948490,http://www.aidhausen.de,Bayern
Aiglsbach,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/74997725490,https://www.aiglsbach.de,Bayern
Aindling,Markt,https://www.bayernportal.de/dokumente/behoerde/91775502490,https://www.aindling.de,Bayern
Ainring,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/08553279491,http://www.ainring.de,Bayern
Aislingen,Markt,https://www.bayernportal.de/dokumente/behoerde/25331056491,http://www.aislingen.de,Bayern
Aiterhofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/42108833491,http://www.aiterhofen.de,Bayern
Aitrang,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/58886610491,https://www.aitrang.de,Bayern
Albaching,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/75664387491,http://www.albaching.de,Bayern
Albertshofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/92442164491,http://www.albertshofen.de/,Bayern
Aldersbach,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/09219941492,http://www.aldersbach.de,Bayern
Alerheim,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/25997718492,https://www.alerheim.de,Bayern
Alesheim,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/42775495492,http://www.gemeinde-alesheim.de/,Bayern
Aletshausen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/59553272492,http://www.aletshausen.de,Bayern
Alfeld,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/76331049492,http://www.alfeld-mfr.de,Bayern
Allersberg,Markt,https://www.bayernportal.de/dokumente/behoerde/93108826492,https://www.allersberg.de,Bayern
Allershausen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/09886603493,http://www.allershausen.de,Bayern
Alling,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/26664380493,https://www.alling.de,Bayern
Allmannshofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/43442157493,http://www.allmannshofen.de,Bayern
Altdorf,Markt,https://www.bayernportal.de/dokumente/behoerde/60219934493,http://www.markt-altdorf.de,Bayern
Altdorf b.Nürnberg,Stadt,https://www.bayernportal.de/dokumente/behoerde/75220179440,http://www.altdorf.de,Bayern
Alteglofsheim,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/76997711493,http://www.gemeinde-alteglofsheim.de,Bayern
Altenbuch,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/93775488493,http://www.altenbuch.de,Bayern
Altendorf,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/10553265494,https://www.gemeinde-altendorf.de,Bayern
Altendorf,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/27331042494,http://www.altendorf-gemeinde.de,Bayern
Altenkunstadt,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/44108819494,http://www.altenkunstadt.de,Bayern
Altenmarkt a.d.Alz,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/60886596494,https://www.altenmarkt.de,Bayern
Altenmünster,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/77664373494,https://www.altenmuenster.de,Bayern
Altenstadt,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/94442150494,http://www.altenstadt-oberbayern.de,Bayern
Altenstadt,Markt,https://www.bayernportal.de/dokumente/behoerde/11219927495,http://www.altenstadt-iller.de,Bayern
Altenstadt a.d.Waldnaab,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/27997704495,http://www.altenstadt-waldnaab.de,Bayern
Altenthann,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/44775481495,http://www.altenthann.de,Bayern
Altertheim,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/61553258495,https://www.altertheim.de,Bayern
Altfraunhofen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/78331035495,http://www.altfraunhofen.de,Bayern
Althegnenberg,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/95108812495,http://www.althegnenberg.de,Bayern
Altmannstein,Markt,https://www.bayernportal.de/dokumente/behoerde/11886589496,http://www.altmannstein.de,Bayern
Altötting,Stadt,https://www.bayernportal.de/dokumente/behoerde/07442409439,http://www.altoetting.de,Bayern
Altomünster,Markt,https://www.bayernportal.de/dokumente/behoerde/28664366496,https://www.altomuenster.de,Bayern
Altusried,Markt,https://www.bayernportal.de/dokumente/behoerde/45442143496,http://www.altusried.de,Bayern
Alzenau,Stadt,https://www.bayernportal.de/dokumente/behoerde/57775740439,http://www.alzenau.de,Bayern
Amberg,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/62219920496,http://www.gemeinde-amberg.de,Bayern
Amberg,Stadt,https://www.bayernportal.de/dokumente/behoerde/72775985386,https://www.amberg.de,Bayern
Amerang,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/78997697496,http://www.amerang.de,Bayern
Amerdingen,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/95775474496,http://www.amerdingen.de,Bayern
Ammerndorf,Markt,https://www.bayernportal.de/dokumente/behoerde/12553251497,http://www.ammerndorf.de,Bayern
Ammerthal,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/29331028497,https://www.ammerthal.de,Bayern
Amorbach,Stadt,https://www.bayernportal.de/dokumente/behoerde/08775733441,http://www.amorbach.de,Bayern
Ampfing,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/46108805497,https://www.ampfing.de,Bayern
Andechs,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/62886582497,https://gemeinde-andechs.de/,Bayern
Anger,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/79664359497,http://www.anger.de,Bayern
Ansbach,Stadt,https://www.bayernportal.de/dokumente/behoerde/90220424387,http://www.ansbach.de,Bayern
Antdorf,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/96442136497,https://www.antdorf.de,Bayern
Anzing,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/13219913498,http://www.anzing.de,Bayern
Apfeldorf,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/29997690498,http://www.apfeldorf.de,Bayern
Apfeltrach,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/46775467498,http://www.apfeltrach.de,Bayern
Arberg,Markt,https://www.bayernportal.de/dokumente/behoerde/63553244498,http://www.arberg.de,Bayern
Aresing,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/80331021498,https://www.aresing.de,Bayern
Arnbruck,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/97108798498,https://www.arnbruck.de,Bayern
Arnschwang,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/13886575499,http://www.arnschwang.de,Bayern
Arnstein,Stadt,https://www.bayernportal.de/dokumente/behoerde/42997949442,http://www.arnstein.de,Bayern
Arnstorf,Markt,https://www.bayernportal.de/dokumente/behoerde/30664352499,http://www.arnstorf.de,Bayern
Arrach,Gemeinde,https://www.bayernportal.de/dokumente/behoerde/47442129499,https://www.gemeinde-arrach.de,Bayern
Arzberg,Stadt,https://www.bayernportal.de/dokumente/behoerde/58442402440,http://www.arzberg.de,Bayern
