name,typ,quelle_url,webseite,bundesland
Adlershof,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Adlershof,,Berlin
Alt-Hohenschönhausen,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Alt-Hohenschönhausen,,Berlin
Alt-Treptow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Alt-Treptow,,Berlin
Altglienicke,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Altglienicke,,Berlin
Baumschulenweg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Baumschulenweg,,Berlin
Biesdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Biesdorf,,Berlin
Blankenburg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Blankenburg,,Berlin
Blankenfelde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Blankenfelde,,Berlin
Bohnsdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Bohnsdorf,,Berlin
Borsigwalde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Borsigwalde,,Berlin
Britz,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Britz,,Berlin
Buch,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Buch,,Berlin
Buckow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Buckow,,Berlin
Charlottenburg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Charlottenburg,,Berlin
Charlottenburg-Nord,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Charlottenburg-Nord,,Berlin
Charlottenburg-Wilmersdorf,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Charlottenburg-Wilmersdorf,https://www.berlin.de/ba-charlottenburg-wilmersdorf,Berlin
Dahlem,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Dahlem,,Berlin
Falkenberg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Falkenberg,,Berlin
Falkenhagener Feld,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Falkenhagener_Feld,,Berlin
Fennpfuhl,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Fennpfuhl,,Berlin
Französisch Buchholz,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Französisch_Buchholz,,Berlin
Friedenau,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Friedenau,,Berlin
Friedrichsfelde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Friedrichsfelde,,Berlin
Friedrichshagen,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Friedrichshagen,,Berlin
Friedrichshain,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Friedrichshain,,Berlin
Friedrichshain-Kreuzberg,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Friedrichshain-Kreuzberg,https://www.berlin.de/ba-friedrichshain-kreuzberg/,Berlin
Frohnau,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Frohnau,,Berlin
Gatow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Gatow,,Berlin
Gesundbrunnen,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Gesundbrunnen,,Berlin
Gropiusstadt,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Gropiusstadt,,Berlin
Grunewald,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Grunewald,,Berlin
Grünau,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Grünau,,Berlin
Hakenfelde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Hakenfelde,,Berlin
Halensee,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Halensee,,Berlin
Hansaviertel,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Hansaviertel,,Berlin
Haselhorst,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Haselhorst,,Berlin
Heiligensee,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Heiligensee,,Berlin
Heinersdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Heinersdorf,,Berlin
Hellersdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Hellersdorf,,Berlin
Hermsdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Hermsdorf,,Berlin
Johannisthal,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Johannisthal,,Berlin
Karlshorst,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Karlshorst,,Berlin
Karow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Karow,,Berlin
Kaulsdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Kaulsdorf,,Berlin
Kladow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Kladow,,Berlin
Konradshöhe,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Konradshöhe,,Berlin
Kreuzberg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Kreuzberg,,Berlin
Köpenick,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Köpenick,,Berlin
Lankwitz,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Lankwitz,,Berlin
Lichtenberg,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Lichtenberg,http://www.berlin.de/ba-lichtenberg,Berlin
Lichtenberg,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Lichtenberg,,Berlin
Lichtenrade,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Lichtenrade,,Berlin
Lichterfelde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Lichterfelde,,Berlin
Lübars,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Lübars,,Berlin
Mahlsdorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Mahlsdorf,,Berlin
Malchow,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Malchow,,Berlin
Mariendorf,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Mariendorf,,Berlin
Marienfelde,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Marienfelde,,Berlin
Marzahn,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Marzahn,,Berlin
Marzahn-Hellersdorf,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Marzahn-Hellersdorf,https://www.berlin.de/ba-marzahn-hellersdorf,Berlin
Mitte,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Mitte,https://www.berlin.de/ba-mitte/,Berlin
Mitte,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Mitte,,Berlin
Moabit,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Moabit,,Berlin
Märkisches Viertel,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Märkisches_Viertel,,Berlin
Müggelheim,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Müggelheim,,Berlin
Neu-Hohenschönhausen,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Neu-Hohenschönhausen,,Berlin
Neukölln,Bezirk,https://de.wikipedia.org/wiki/Bezirk_Neukölln,https://www.berlin.de/ba-neukoelln,Berlin
Neukölln,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Neukölln,,Berlin
Niederschöneweide,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Niederschöneweide,,Berlin
Niederschönhausen,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Niederschönhausen,,Berlin
Nikolassee,Ortsteil,https://de.wikipedia.org/wiki/Berlin-Nikolassee,,Berlin
