name,typ,quelle_url,webseite,bundesland
Ahrensfelde,Gemeinde,https://de.wikipedia.org/wiki/Ahrensfelde,https://www.ahrensfelde.de/,Brandenburg
Alt Tucheband,Gemeinde,https://de.wikipedia.org/wiki/Alt_Tucheband,https://www.amt-golzow.de/verzeichnis/objekt.php?mandat=52504,Brandenburg
Alt Zauche-Wußwerk,Gemeinde,https://de.wikipedia.org/wiki/Alt_Zauche-Wußwerk,https://www.lieberose-oberspreewald.de/Die-Gemeinden/Alt-Zauche-Wusswerk,Brandenburg
Altdöbern,Gemeinde,https://de.wikipedia.org/wiki/Altdöbern,https://www.gemeinde-altdoebern.de/,Brandenburg
Althüttendorf,Gemeinde,https://de.wikipedia.org/wiki/Althüttendorf,https://www.amt-joachimsthal.de/texte/seite.php?id=73155,Brandenburg
Altlandsberg,Gemeinde,https://de.wikipedia.org/wiki/Altlandsberg,https://www.altlandsberg.de/,Brandenburg
Am Mellensee,Gemeinde,https://de.wikipedia.org/wiki/Am_Mellensee,https://www.gemeinde-am-mellensee.de/,Brandenburg
Angermünde,Gemeinde,https://de.wikipedia.org/wiki/Angermünde,https://www.angermuende.de/,Brandenburg
Bad Belzig,Gemeinde,https://de.wikipedia.org/wiki/Bad_Belzig,https://www.bad-belzig.de/,Brandenburg
Bad Freienwalde (Oder),Gemeinde,https://de.wikipedia.org/wiki/Bad_Freienwalde_(Oder),https://bad-freienwalde.de/,Brandenburg
Bad Liebenwerda,Gemeinde,https://de.wikipedia.org/wiki/Bad_Liebenwerda,https://www.badliebenwerda.de/,Brandenburg
Bad Saarow,Gemeinde,https://de.wikipedia.org/wiki/Bad_Saarow,https://www.bad-saarow.de/,Brandenburg
Bad Wilsnack,Gemeinde,https://de.wikipedia.org/wiki/Bad_Wilsnack,https://bad-wilsnack.de/,Brandenburg
Baruth/Mark,Gemeinde,https://de.wikipedia.org/wiki/Baruth/Mark,https://www.stadt-baruth-mark.de/,Brandenburg
Beelitz,Gemeinde,https://de.wikipedia.org/wiki/Beelitz,https://beelitz.de/,Brandenburg
Beeskow,Gemeinde,https://de.wikipedia.org/wiki/Beeskow,https://www.beeskow.de/,Brandenburg
Beetzsee,Gemeinde,https://de.wikipedia.org/wiki/Beetzsee_(Gemeinde),https://www.amt-beetzsee.de/,Brandenburg
Beetzseeheide,Gemeinde,https://de.wikipedia.org/wiki/Beetzseeheide,https://www.beetzseeheide.org/,Brandenburg
Beiersdorf-Freudenberg,Gemeinde,https://de.wikipedia.org/wiki/Beiersdorf-Freudenberg,https://www.amt-fahoe.de/seite/373816/beiersdorf-freudenberg.html,Brandenburg
Bensdorf,Gemeinde,https://de.wikipedia.org/wiki/Bensdorf,https://www.amt-wusterwitz.de/verzeichnis/objekt.php?mandat=74258,Brandenburg
Berge,Gemeinde,https://de.wikipedia.org/wiki/Berge_(Prignitz),https://www.amtputlitz-berge.de/verzeichnis/visitenkarte.php?mandat=55442,Brandenburg
Berkenbrück,Gemeinde,https://de.wikipedia.org/wiki/Berkenbrück,https://www.amt-odervorland.de/index.php_id=102,Brandenburg
Bernau bei Berlin,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bernau_bei_Berlin,https://www.bernau.de/,Brandenburg
Bersteland,Gemeinde,https://de.wikipedia.org/wiki/Bersteland,https://www.unterspreewald.de/Stadt-und-Gemeinden/Bersteland.htm,Brandenburg
Bestensee,Gemeinde,https://de.wikipedia.org/wiki/Bestensee,https://www.bestensee.de/,Brandenburg
Biesenthal,Gemeinde,https://de.wikipedia.org/wiki/Biesenthal,https://www.stadt-biesenthal.de/,Brandenburg
Birkenwerder,Gemeinde,https://de.wikipedia.org/wiki/Birkenwerder,https://www.birkenwerder.de/,Brandenburg
Blankenfelde-Mahlow,Gemeinde,https://de.wikipedia.org/wiki/Blankenfelde-Mahlow,https://www.blankenfelde-mahlow.de/,Brandenburg
Bleyen-Genschmar,Gemeinde,https://de.wikipedia.org/wiki/Bleyen-Genschmar,https://www.amt-golzow.de/verzeichnis/objekt.php?mandat=52507,Brandenburg
Bliesdorf,Gemeinde,https://de.wikipedia.org/wiki/Bliesdorf,https://www.barnim-oderbruch.de/leben/gemeinden/bliesdorf,Brandenburg
Boitzenburger Land,Gemeinde,https://de.wikipedia.org/wiki/Boitzenburger_Land,https://www.gemeinde-boitzenburger-land.de/,Brandenburg
Borkheide,Gemeinde,https://de.wikipedia.org/wiki/Borkheide,https://borkheide.eu/,Brandenburg
Borkwalde,Gemeinde,https://de.wikipedia.org/wiki/Borkwalde,https://borkwalde.de/,Brandenburg
Brandenburg an der Havel,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Brandenburg_an_der_Havel,https://www.stadt-brandenburg.de/,Brandenburg
Breddin,Gemeinde,https://de.wikipedia.org/wiki/Breddin,https://www.amt-neustadt-dosse.de/verzeichnis/objekt.php?mandat=27190,Brandenburg
Breese,Gemeinde,https://de.wikipedia.org/wiki/Breese,https://www.amtbww.de/ris/ti_3/,Brandenburg
