name,typ,quelle_url,webseite,bundesland
Blumenthal,Stadtteil,https://de.wikipedia.org/wiki/Blumenthal_(Bremen),http://www.ortsamt-blumenthal.bremen.de,Bremen
Burglesum,Stadtteil,https://de.wikipedia.org/wiki/Burglesum,http://www.ortsamt-burglesum.bremen.de/,Bremen
Findorff,Stadtteil,https://de.wikipedia.org/wiki/Findorff_(Bremen),https://www.ortsamtwest.bremen.de/,Bremen
Gröpelingen,Stadtteil,https://de.wikipedia.org/wiki/Gröpelingen,http://www.ortsamtwest.bremen.de/,Bremen
Hemelingen,Stadtteil,https://de.wikipedia.org/wiki/Hemelingen,http://www.ortsamt-hemelingen.de/,Bremen
Horn-Lehe,Stadtteil,https://de.wikipedia.org/wiki/Horn-Lehe,,Bremen
Huchting,Stadtteil,https://de.wikipedia.org/wiki/Huchting_(Bremen),http://bremen.de/ortsamt-huchting-336179,Bremen
Häfen,Stadtteil,https://de.wikipedia.org/wiki/Häfen_(Bremen),,Bremen
Mitte,Stadtteil,https://de.wikipedia.org/wiki/Mitte_(Bremen),http://www.ortsamtmitte.bremen.de/,Bremen
Neustadt,Stadtteil,https://de.wikipedia.org/wiki/Neustadt_(Bremen),https://www.ortsamt-neustadt.bremen.de/,Bremen
Nord,Stadtbezirk,https://de.wikipedia.org/wiki/Bremen-Nord,,Bremen
Oberneuland,Stadtteil,https://de.wikipedia.org/wiki/Oberneuland,https://www.ortsamt-oberneuland.bremen.de,Bremen
Obervieland,Stadtteil,https://de.wikipedia.org/wiki/Obervieland,http://www.ortsamt-obervieland.de/,Bremen
Osterholz,Stadtteil,https://de.wikipedia.org/wiki/Osterholz_(Bremen),http://www.oaosterholz.bremen.de/,Bremen
Schwachhausen,Stadtteil,https://de.wikipedia.org/wiki/Schwachhausen,https://www.ortsamtschwachhausenvahr.bremen.de/,Bremen
Vahr,Stadtteil,https://de.wikipedia.org/wiki/Vahr,,Bremen
Vegesack,Stadtteil,https://de.wikipedia.org/wiki/Vegesack,https://www.ortsamt-vegesack.bremen.de/,Bremen
Walle,Stadtteil,https://de.wikipedia.org/wiki/Walle_(Bremen),http://www.ortsamtwest.bremen.de/,Bremen
Woltmershausen,Stadtteil,https://de.wikipedia.org/wiki/Woltmershausen,https://www.bremen.de/leben-in-bremen/wohnen/stadtteile/woltmershausen,Bremen
Östliche Vorstadt,Stadtteil,https://de.wikipedia.org/wiki/Östliche_Vorstadt,http://www.ortsamtmitte.bremen.de,Bremen
