name,typ,quelle_url,webseite,bundesland
Admannshagen-Bargeshagen,Gemeinde,https://de.wikipedia.org/wiki/Admannshagen-Bargeshagen,https://admannshagen-bargeshagen.de/,Mecklenburg-Vorpommern
Ahlbeck,Gemeinde,https://de.wikipedia.org/wiki/Ahlbeck_(bei_Ueckermünde),,Mecklenburg-Vorpommern
Ahrenshagen-Daskow,Gemeinde,https://de.wikipedia.org/wiki/Ahrenshagen-Daskow,https://www.ahrenshagen-daskow.de/,Mecklenburg-Vorpommern
Ahrenshoop,Gemeinde,https://de.wikipedia.org/wiki/Ahrenshoop,http://www.ostseebad-ahrenshoop.de/,Mecklenburg-Vorpommern
Alt Bukow,Gemeinde,https://de.wikipedia.org/wiki/Alt_Bukow,https://neubukow-salzhaff.de/amt-gemeinden/gemeinden/alt-bukow/,Mecklenburg-Vorpommern
Alt Krenzlin,Gemeinde,https://de.wikipedia.org/wiki/Alt_Krenzlin,https://gemeinde-altkrenzlin.de/,Mecklenburg-Vorpommern
Alt Meteln,Gemeinde,https://de.wikipedia.org/wiki/Alt_Meteln,https://gemeinde-alt-meteln.de/,Mecklenburg-Vorpommern
Alt Schwerin,Gemeinde,https://de.wikipedia.org/wiki/Alt_Schwerin,http://www.alt-schwerin.de/,Mecklenburg-Vorpommern
Alt Sührkow,Gemeinde,https://de.wikipedia.org/wiki/Alt_Sührkow,https://www.amt-mecklenburgische-schweiz.de/,Mecklenburg-Vorpommern
Alt Tellin,Gemeinde,https://de.wikipedia.org/wiki/Alt_Tellin,https://www.jarmen.de/verzeichnis/visitenkarte.php?mandat=154285,Mecklenburg-Vorpommern
Alt Zachun,Gemeinde,https://de.wikipedia.org/wiki/Alt_Zachun,https://www.amt-hagenow-land.de/amt-gemeinden/Alt-Zachun/,Mecklenburg-Vorpommern
Altefähr,Gemeinde,https://de.wikipedia.org/wiki/Altefähr,http://www.altefaehr.de/,Mecklenburg-Vorpommern
Altenhagen,Gemeinde,https://de.wikipedia.org/wiki/Altenhagen_(Landkreis_Mecklenburgische_Seenplatte),https://www.altentreptow.de/amt-treptower-tollensewinkel/gemeinden/altenhagen.html,Mecklenburg-Vorpommern
Altenhof,Gemeinde,https://de.wikipedia.org/wiki/Altenhof_(Mecklenburg),,Mecklenburg-Vorpommern
Altenkirchen,Gemeinde,https://de.wikipedia.org/wiki/Altenkirchen_(Rügen),https://www.altenkirchen-ruegen.de,Mecklenburg-Vorpommern
Altenpleen,Gemeinde,https://de.wikipedia.org/wiki/Altenpleen,https://www.amt-altenpleen.de/,Mecklenburg-Vorpommern
Altentreptow,Gemeinde,https://de.wikipedia.org/wiki/Altentreptow,https://www.altentreptow.de/,Mecklenburg-Vorpommern
Altkalen,Gemeinde,https://de.wikipedia.org/wiki/Altkalen,https://amt-gnoien.de/Altkalen.cfm,Mecklenburg-Vorpommern
Altwarp,Gemeinde,https://de.wikipedia.org/wiki/Altwarp,https://www.amt-am-stettiner-haff.de/gemeinden/altwarp/,Mecklenburg-Vorpommern
Altwigshagen,Gemeinde,https://de.wikipedia.org/wiki/Altwigshagen,,Mecklenburg-Vorpommern
Am Salzhaff,Gemeinde,https://de.wikipedia.org/wiki/Am_Salzhaff,https://www.neubukow-salzhaff.de/amt-gemeinden/gemeinden/am-salzhaff/,Mecklenburg-Vorpommern
Ankershagen,Gemeinde,https://de.wikipedia.org/wiki/Ankershagen,http://www.ankershagen.de/,Mecklenburg-Vorpommern
Anklam,Amtsfreie Stadt/Gemeinde,https://de.wikipedia.org/wiki/Anklam,https://www.anklam.de/,Mecklenburg-Vorpommern
Baabe,Gemeinde,https://de.wikipedia.org/wiki/Baabe,https://www.amt-moenchgut.de/ris/ti-2/,Mecklenburg-Vorpommern
Bad Doberan,Amtsfreie Stadt/Gemeinde,https://de.wikipedia.org/wiki/Bad_Doberan,https://stadt-bad-doberan.de/,Mecklenburg-Vorpommern
Bad Kleinen,Gemeinde,https://de.wikipedia.org/wiki/Bad_Kleinen,http://www.mein-bad-kleinen.de/,Mecklenburg-Vorpommern
Bad Sülze,Gemeinde,https://de.wikipedia.org/wiki/Bad_Sülze,https://www.stadtbadsuelze.de/,Mecklenburg-Vorpommern
Balow,Gemeinde,https://de.wikipedia.org/wiki/Balow,https://www.gemeinde-balow.de/,Mecklenburg-Vorpommern
Bandelin,Gemeinde,https://de.wikipedia.org/wiki/Bandelin,https://www.gemeinde-bandelin.de/,Mecklenburg-Vorpommern
Bandenitz,Gemeinde,https://de.wikipedia.org/wiki/Bandenitz,https://www.amt-hagenow-land.de/amt-gemeinden/Bandenitz/,Mecklenburg-Vorpommern
Banzkow,Gemeinde,https://de.wikipedia.org/wiki/Banzkow,https://www.gemeinde-banzkow.de/,Mecklenburg-Vorpommern
Bargischow,Gemeinde,https://de.wikipedia.org/wiki/Bargischow,http://www.amt-anklam-land.de/,Mecklenburg-Vorpommern
Barkhagen,Gemeinde,https://de.wikipedia.org/wiki/Barkhagen,http://www.gemeinde-barkhagen.de/,Mecklenburg-Vorpommern
