name,typ,quelle_url,webseite,bundesland
Achim,Selbständige Gemeinde,https://de.wikipedia.org/wiki/Achim_(Landkreis_Verden),https://www.achim.de/,Niedersachsen
Adelebsen,Gemeinde,https://de.wikipedia.org/wiki/Adelebsen,https://www.adelebsen.de/,Niedersachsen
Adelheidsdorf,Gemeinde,https://de.wikipedia.org/wiki/Adelheidsdorf,https://www.wathlingen.de/,Niedersachsen
Adenbüttel,Gemeinde,https://de.wikipedia.org/wiki/Adenbüttel,https://www.adenbuettel.de/,Niedersachsen
Adendorf,Gemeinde,https://de.wikipedia.org/wiki/Adendorf,http://www.adendorf.de/,Niedersachsen
Aerzen,Gemeinde,https://de.wikipedia.org/wiki/Aerzen,https://www.aerzen.de/,Niedersachsen
Affinghausen,Gemeinde,https://de.wikipedia.org/wiki/Affinghausen,https://www.gemeinde-affinghausen.de/,Niedersachsen
Agathenburg,Gemeinde,https://de.wikipedia.org/wiki/Agathenburg,,Niedersachsen
Ahausen,Gemeinde,https://de.wikipedia.org/wiki/Ahausen,http://www.gemeinde-ahausen.info/,Niedersachsen
Ahlden (Aller),Gemeinde,https://de.wikipedia.org/wiki/Ahlden_(Aller),http://www.ahlden.info/,Niedersachsen
Ahlerstedt,Gemeinde,https://de.wikipedia.org/wiki/Ahlerstedt,https://www.harsefeld.de/portal/seiten/gemeinde-ahlerstedt-900000164-20430.html,Niedersachsen
Ahnsbeck,Gemeinde,https://de.wikipedia.org/wiki/Ahnsbeck,https://www.ahnsbeck.de/,Niedersachsen
Ahnsen,Gemeinde,https://de.wikipedia.org/wiki/Ahnsen,https://www.ahnsen-schaumburg.de/,Niedersachsen
Alfeld (Leine),Selbständige Gemeinde,https://de.wikipedia.org/wiki/Alfeld_(Leine),https://www.alfeld.de/,Niedersachsen
Alfhausen,Gemeinde,https://de.wikipedia.org/wiki/Alfhausen,http://www.alfhausen.de/,Niedersachsen
Alfstedt,Gemeinde,https://de.wikipedia.org/wiki/Alfstedt,https://alfstedt.de/,Niedersachsen
Algermissen,Gemeinde,https://de.wikipedia.org/wiki/Algermissen,https://www.algermissen.de/,Niedersachsen
Altenmedingen,Gemeinde,https://de.wikipedia.org/wiki/Altenmedingen,https://altenmedingen.de/,Niedersachsen
Amelinghausen,Gemeinde,https://de.wikipedia.org/wiki/Amelinghausen,https://www.samtgemeinde-amelinghausen.de/,Niedersachsen
Anderlingen,Gemeinde,https://de.wikipedia.org/wiki/Anderlingen,https://www.selsingen.de/rathaus/gemeinde-anderlingen,Niedersachsen
Andervenne,Gemeinde,https://de.wikipedia.org/wiki/Andervenne,,Niedersachsen
Ankum,Gemeinde,https://de.wikipedia.org/wiki/Ankum,http://www.ankum.de/,Niedersachsen
Apelern,Gemeinde,https://de.wikipedia.org/wiki/Apelern,https://rodenberg.de/apelern/,Niedersachsen
Apen,Gemeinde,https://de.wikipedia.org/wiki/Apen,https://www.apen.de/,Niedersachsen
Apensen,Gemeinde,https://de.wikipedia.org/wiki/Apensen,https://www.apensen.de/,Niedersachsen
Appel,Gemeinde,https://de.wikipedia.org/wiki/Appel,https://www.gemeinde-appel.de/,Niedersachsen
Arholzen,Gemeinde,https://de.wikipedia.org/wiki/Arholzen,http://www.arholzen.de/,Niedersachsen
Armstorf,Gemeinde,https://de.wikipedia.org/wiki/Armstorf,http://www.armstorf.de/,Niedersachsen
Artlenburg,Gemeinde,https://de.wikipedia.org/wiki/Artlenburg,https://artlenburg.de/,Niedersachsen
Asendorf,Gemeinde,https://de.wikipedia.org/wiki/Asendorf_(Landkreis_Diepholz),https://www.asendorf.info/,Niedersachsen
Asendorf,Gemeinde,https://de.wikipedia.org/wiki/Asendorf_(Nordheide),https://www.hanstedt.de/unsere-gemeinden/asendorf/,Niedersachsen
Auetal,Gemeinde,https://de.wikipedia.org/wiki/Auetal,https://www.auetal.de/,Niedersachsen
Auhagen,Gemeinde,https://de.wikipedia.org/wiki/Auhagen,,Niedersachsen
Aurich,Selbständige Gemeinde,https://de.wikipedia.org/wiki/Aurich,https://www.aurich.de/,Niedersachsen
Axstedt,Gemeinde,https://de.wikipedia.org/wiki/Axstedt,http://gemeinde-axstedt.de/,Niedersachsen
Bad Bentheim,Gemeinde,https://de.wikipedia.org/wiki/Bad_Bentheim,https://www.stadt-badbentheim.de/,Niedersachsen
Bad Bevensen,Gemeinde,https://de.wikipedia.org/wiki/Bad_Bevensen,https://www.bevensen-ebstorf.de/home/verwaltung-und-politik/politik/mitgliedsgemeinden/stadt-bad-bevensen.aspx,Niedersachsen
Bad Bodenteich,Gemeinde,https://de.wikipedia.org/wiki/Bad_Bodenteich,https://www.samtgemeinde-aue.de/,Niedersachsen
Bad Eilsen,Gemeinde,https://de.wikipedia.org/wiki/Bad_Eilsen,https://www.bad-eilsen.info/,Niedersachsen
Bad Essen,Gemeinde,https://de.wikipedia.org/wiki/Bad_Essen,https://www.badessen.de/,Niedersachsen
Bad Fallingbostel,Gemeinde,https://de.wikipedia.org/wiki/Bad_Fallingbostel,https://www.badfallingbostel.de/,Niedersachsen
Bad Gandersheim,Gemeinde,https://de.wikipedia.org/wiki/Bad_Gandersheim,https://www.bad-gandersheim.de/,Niedersachsen
Bad Grund (Harz),Gemeinde,https://de.wikipedia.org/wiki/Bad_Grund_(Harz),https://www.gemeinde-bad-grund.de/,Niedersachsen
Bad Harzburg,Gemeinde,https://de.wikipedia.org/wiki/Bad_Harzburg,https://www.stadt-bad-harzburg.de/,Niedersachsen
Bad Iburg,Gemeinde,https://de.wikipedia.org/wiki/Bad_Iburg,https://www.badiburg.de/,Niedersachsen
Bad Laer,Gemeinde,https://de.wikipedia.org/wiki/Bad_Laer,https://www.bad-laer.de/,Niedersachsen
Bad Lauterberg im Harz,Gemeinde,https://de.wikipedia.org/wiki/Bad_Lauterberg_im_Harz,https://www.badlauterberg.de/,Niedersachsen
