name,typ,quelle_url,webseite,bundesland
Aachen,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Aachen,https://www.aachen.de/,Nordrhein-Westfalen
Ahaus,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Ahaus,https://www.stadt-ahaus.de/,Nordrhein-Westfalen
Ahlen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Ahlen,https://www.ahlen.de/,Nordrhein-Westfalen
Aldenhoven,Gemeinde,https://de.wikipedia.org/wiki/Aldenhoven,https://aldenhoven.de/,Nordrhein-Westfalen
Alfter,Gemeinde,https://de.wikipedia.org/wiki/Alfter,https://www.alfter.de/,Nordrhein-Westfalen
Alpen,Gemeinde,https://de.wikipedia.org/wiki/Alpen_(Niederrhein),https://www.alpen.de/,Nordrhein-Westfalen
Alsdorf,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Alsdorf,https://alsdorf.de/,Nordrhein-Westfalen
Altena,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Altena,http://www.altena.de/,Nordrhein-Westfalen
Altenbeken,Gemeinde,https://de.wikipedia.org/wiki/Altenbeken,https://www.altenbeken.de/,Nordrhein-Westfalen
Altenberge,Gemeinde,https://de.wikipedia.org/wiki/Altenberge,https://altenberge.de/,Nordrhein-Westfalen
Anröchte,Gemeinde,https://de.wikipedia.org/wiki/Anröchte,https://www.anroechte.de/,Nordrhein-Westfalen
Arnsberg,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Arnsberg,https://www.arnsberg.de/,Nordrhein-Westfalen
Ascheberg,Gemeinde,https://de.wikipedia.org/wiki/Ascheberg_(Westfalen),https://www.ascheberg.de/,Nordrhein-Westfalen
Attendorn,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Attendorn,https://www.attendorn.de/,Nordrhein-Westfalen
Augustdorf,Gemeinde,https://de.wikipedia.org/wiki/Augustdorf,https://www.augustdorf.de/,Nordrhein-Westfalen
Bad Berleburg,Stadt,https://de.wikipedia.org/wiki/Bad_Berleburg,https://www.bad-berleburg.de/,Nordrhein-Westfalen
Bad Driburg,Stadt,https://de.wikipedia.org/wiki/Bad_Driburg,https://www.bad-driburg.de/,Nordrhein-Westfalen
Bad Honnef,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bad_Honnef,https://meinbadhonnef.de/,Nordrhein-Westfalen
Bad Laasphe,Stadt,https://de.wikipedia.org/wiki/Bad_Laasphe,https://www.stadt-badlaasphe.de/,Nordrhein-Westfalen
Bad Lippspringe,Stadt,https://de.wikipedia.org/wiki/Bad_Lippspringe,https://www.bad-lippspringe.de/,Nordrhein-Westfalen
Bad Münstereifel,Stadt,https://de.wikipedia.org/wiki/Bad_Münstereifel,https://www.bad-muenstereifel.de/,Nordrhein-Westfalen
Bad Oeynhausen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bad_Oeynhausen,https://www.badoeynhausen.de/,Nordrhein-Westfalen
Bad Salzuflen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bad_Salzuflen,https://www.stadt-bad-salzuflen.de/,Nordrhein-Westfalen
Bad Sassendorf,Gemeinde,https://de.wikipedia.org/wiki/Bad_Sassendorf,https://rathaus.bad-sassendorf.de/,Nordrhein-Westfalen
Bad Wünnenberg,Stadt,https://de.wikipedia.org/wiki/Bad_Wünnenberg,https://www.bad-wuennenberg.de/,Nordrhein-Westfalen
Baesweiler,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Baesweiler,https://www.baesweiler.de/,Nordrhein-Westfalen
Balve,Stadt,https://de.wikipedia.org/wiki/Balve,https://www.balve.de/,Nordrhein-Westfalen
Barntrup,Stadt,https://de.wikipedia.org/wiki/Barntrup,https://www.barntrup.de/,Nordrhein-Westfalen
Beckum,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Beckum,https://www.beckum.de/,Nordrhein-Westfalen
Bedburg,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bedburg,https://www.bedburg.de/,Nordrhein-Westfalen
Bedburg-Hau,Gemeinde,https://de.wikipedia.org/wiki/Bedburg-Hau,https://www.bedburg-hau.de/,Nordrhein-Westfalen
Beelen,Gemeinde,https://de.wikipedia.org/wiki/Beelen,https://www.beelen.de/,Nordrhein-Westfalen
Bergheim,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bergheim,https://www.bergheim.de/,Nordrhein-Westfalen
Bergisch Gladbach,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bergisch_Gladbach,https://www.bergischgladbach.de/,Nordrhein-Westfalen
Bergkamen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bergkamen,https://www.bergkamen.de/,Nordrhein-Westfalen
Bergneustadt,Stadt,https://de.wikipedia.org/wiki/Bergneustadt,https://www.bergneustadt.de/,Nordrhein-Westfalen
Bestwig,Gemeinde,https://de.wikipedia.org/wiki/Bestwig,https://bestwig.de/,Nordrhein-Westfalen
Beverungen,Stadt,https://de.wikipedia.org/wiki/Beverungen,https://www.beverungen.de/,Nordrhein-Westfalen
Bielefeld,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Bielefeld,https://www.bielefeld.de/,Nordrhein-Westfalen
Billerbeck,Stadt,https://de.wikipedia.org/wiki/Billerbeck,https://www.billerbeck.de/,Nordrhein-Westfalen
Blankenheim,Gemeinde,https://de.wikipedia.org/wiki/Blankenheim_(Ahr),https://www.blankenheim.de/,Nordrhein-Westfalen
Blomberg,Stadt,https://de.wikipedia.org/wiki/Blomberg,https://www.blomberg-lippe.de/,Nordrhein-Westfalen
Bocholt,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bocholt,https://www.bocholt.de/,Nordrhein-Westfalen
Bochum,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Bochum,https://www.bochum.de/,Nordrhein-Westfalen
Bonn,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Bonn,https://www.bonn.de/,Nordrhein-Westfalen
Borchen,Gemeinde,https://de.wikipedia.org/wiki/Borchen,https://www.borchen.de/,Nordrhein-Westfalen
Borgentreich,Stadt,https://de.wikipedia.org/wiki/Borgentreich,https://www.borgentreich.de/,Nordrhein-Westfalen
Borgholzhausen,Stadt,https://de.wikipedia.org/wiki/Borgholzhausen,https://www.borgholzhausen.de/,Nordrhein-Westfalen
Borken,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Borken,https://www.borken.de/,Nordrhein-Westfalen
Bornheim,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bornheim_(Rheinland),https://www.bornheim.de/,Nordrhein-Westfalen
Bottrop,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Bottrop,https://www.bottrop.de/,Nordrhein-Westfalen
Brakel,Stadt,https://de.wikipedia.org/wiki/Brakel,https://www.brakel.de/,Nordrhein-Westfalen
Breckerfeld,Stadt,https://de.wikipedia.org/wiki/Breckerfeld,https://www.breckerfeld.de/,Nordrhein-Westfalen
Brilon,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Brilon,https://www.brilon.de/,Nordrhein-Westfalen
Brüggen,Gemeinde,https://de.wikipedia.org/wiki/Brüggen,https://www.brueggen.de/,Nordrhein-Westfalen
Brühl,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Brühl_(Rheinland),https://www.bruehl.de/,Nordrhein-Westfalen
Burbach,Gemeinde,https://de.wikipedia.org/wiki/Burbach_(Siegerland),https://www.burbach-siegerland.de/,Nordrhein-Westfalen
Burscheid,Stadt,https://de.wikipedia.org/wiki/Burscheid,https://www.burscheid.de/,Nordrhein-Westfalen
Bönen,Gemeinde,https://de.wikipedia.org/wiki/Bönen,https://www.boenen.de/,Nordrhein-Westfalen
Bünde,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Bünde,https://www.buende.de/,Nordrhein-Westfalen
Büren,Stadt,https://de.wikipedia.org/wiki/Büren_(Westfalen),https://www.bueren.de/,Nordrhein-Westfalen
Castrop-Rauxel,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Castrop-Rauxel,https://www.castrop-rauxel.de/,Nordrhein-Westfalen
Coesfeld,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Coesfeld,https://www.coesfeld.de/,Nordrhein-Westfalen
Dahlem,Gemeinde,https://de.wikipedia.org/wiki/Dahlem_(Nordeifel),https://www.dahlem.de/,Nordrhein-Westfalen
Datteln,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Datteln,https://www.datteln.de/,Nordrhein-Westfalen
Delbrück,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Delbrück,https://www.stadt-delbrueck.de/,Nordrhein-Westfalen
Detmold,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Detmold,https://www.detmold.de/,Nordrhein-Westfalen
Dinslaken,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Dinslaken,https://www.dinslaken.de/,Nordrhein-Westfalen
Dormagen,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Dormagen,https://www.dormagen.de/,Nordrhein-Westfalen
Dorsten,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Dorsten,https://www.dorsten.de/,Nordrhein-Westfalen
Dortmund,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Dortmund,https://www.dortmund.de/,Nordrhein-Westfalen
Drensteinfurt,Stadt,https://de.wikipedia.org/wiki/Drensteinfurt,https://www.drensteinfurt.de/,Nordrhein-Westfalen
Drolshagen,Stadt,https://de.wikipedia.org/wiki/Drolshagen,https://www.drolshagen.de/,Nordrhein-Westfalen
Duisburg,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Duisburg,https://www.duisburg.de/,Nordrhein-Westfalen
Dörentrup,Gemeinde,https://de.wikipedia.org/wiki/Dörentrup,https://www.doerentrup-lippe.de/,Nordrhein-Westfalen
Dülmen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Dülmen,https://www.duelmen.de/,Nordrhein-Westfalen
Düren,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Düren,https://www.dueren.de/,Nordrhein-Westfalen
Düsseldorf,Landeshauptstadt,https://de.wikipedia.org/wiki/Düsseldorf,https://www.duesseldorf.de/,Nordrhein-Westfalen
Eitorf,Gemeinde,https://de.wikipedia.org/wiki/Eitorf,https://www.eitorf.de/,Nordrhein-Westfalen
Elsdorf,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Elsdorf_(Rheinland),https://www.elsdorf.de/,Nordrhein-Westfalen
Emmerich am Rhein,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Emmerich_am_Rhein,https://www.emmerich.de/,Nordrhein-Westfalen
Emsdetten,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Emsdetten,https://www.emsdetten.de/,Nordrhein-Westfalen
Engelskirchen,Gemeinde,https://de.wikipedia.org/wiki/Engelskirchen,https://www.engelskirchen.de/,Nordrhein-Westfalen
Enger,Stadt,https://de.wikipedia.org/wiki/Enger,https://www.enger.de/,Nordrhein-Westfalen
Ennepetal,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Ennepetal,http://www.ennepetal.de/,Nordrhein-Westfalen
Ennigerloh,Stadt,https://de.wikipedia.org/wiki/Ennigerloh,https://www.ennigerloh.de/,Nordrhein-Westfalen
Ense,Gemeinde,https://de.wikipedia.org/wiki/Ense,https://www.gemeinde-ense.de/,Nordrhein-Westfalen
Erftstadt,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Erftstadt,https://www.erftstadt.de/,Nordrhein-Westfalen
Erkelenz,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Erkelenz,https://www.erkelenz.de/,Nordrhein-Westfalen
Erkrath,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Erkrath,https://www.erkrath.de/,Nordrhein-Westfalen
Erndtebrück,Gemeinde,https://de.wikipedia.org/wiki/Erndtebrück,https://www.erndtebrueck.de/,Nordrhein-Westfalen
Erwitte,Stadt,https://de.wikipedia.org/wiki/Erwitte,https://www.erwitte.de/,Nordrhein-Westfalen
Eschweiler,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Eschweiler,https://www.eschweiler.de/,Nordrhein-Westfalen
Eslohe (Sauerland),Gemeinde,https://de.wikipedia.org/wiki/Eslohe_(Sauerland),https://www.eslohe.de/,Nordrhein-Westfalen
Espelkamp,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Espelkamp,https://www.espelkamp.de/,Nordrhein-Westfalen
Essen,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Essen,https://www.essen.de/,Nordrhein-Westfalen
Euskirchen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Euskirchen,https://www.euskirchen.de/,Nordrhein-Westfalen
Everswinkel,Gemeinde,https://de.wikipedia.org/wiki/Everswinkel,https://www.everswinkel.de/,Nordrhein-Westfalen
Extertal,Gemeinde,https://de.wikipedia.org/wiki/Extertal,https://www.extertal.de/,Nordrhein-Westfalen
Finnentrop,Gemeinde,https://de.wikipedia.org/wiki/Finnentrop,https://www.finnentrop.de/,Nordrhein-Westfalen
Frechen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Frechen,https://www.stadt-frechen.de/,Nordrhein-Westfalen
Freudenberg,Stadt,https://de.wikipedia.org/wiki/Freudenberg_(Siegerland),https://www.freudenberg-stadt.de/,Nordrhein-Westfalen
Fröndenberg/Ruhr,Stadt,https://de.wikipedia.org/wiki/Fröndenberg/Ruhr,https://www.froendenberg.de/,Nordrhein-Westfalen
Gangelt,Gemeinde,https://de.wikipedia.org/wiki/Gangelt,https://www.gangelt.de/,Nordrhein-Westfalen
Geilenkirchen,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Geilenkirchen,https://www.geilenkirchen.de/,Nordrhein-Westfalen
Geldern,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Geldern,https://www.geldern.de/,Nordrhein-Westfalen
Gelsenkirchen,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Gelsenkirchen,https://www.gelsenkirchen.de/,Nordrhein-Westfalen
Gescher,Stadt,https://de.wikipedia.org/wiki/Gescher,https://www.gescher.de/,Nordrhein-Westfalen
Geseke,Stadt,https://de.wikipedia.org/wiki/Geseke,https://www.geseke.de/,Nordrhein-Westfalen
Gevelsberg,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Gevelsberg,https://www.gevelsberg.de/,Nordrhein-Westfalen
Gladbeck,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Gladbeck,https://www.gladbeck.de/,Nordrhein-Westfalen
Goch,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Goch,https://www.goch.de/,Nordrhein-Westfalen
Grefrath,Gemeinde,https://de.wikipedia.org/wiki/Grefrath,https://www.grefrath.de/,Nordrhein-Westfalen
Greven,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Greven,https://www.greven.net/,Nordrhein-Westfalen
Grevenbroich,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Grevenbroich,https://www.grevenbroich.de/,Nordrhein-Westfalen
Gronau (Westf.),Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Gronau_(Westf.),https://www.gronau.de/,Nordrhein-Westfalen
Gummersbach,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Gummersbach,https://www.gummersbach.de/,Nordrhein-Westfalen
Gütersloh,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Gütersloh,https://www.guetersloh.de/,Nordrhein-Westfalen
Haan,Mittlere kreisangehörige Stadt,https://de.wikipedia.org/wiki/Haan,https://www.haan.de/,Nordrhein-Westfalen
Hagen,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Hagen,https://www.hagen.de/,Nordrhein-Westfalen
