name,typ,quelle_url,webseite,bundesland
Aach,Ortsgemeinde,https://de.wikipedia.org/wiki/Aach_(bei_Trier),https://www.gemeinde-aach.de/,Rheinland-Pfalz
Abentheuer,Ortsgemeinde,https://de.wikipedia.org/wiki/Abentheuer,https://www.abentheuer.de/,Rheinland-Pfalz
Abtweiler,Ortsgemeinde,https://de.wikipedia.org/wiki/Abtweiler,https://www.vg-nahe-glan.de/gemeinden-staedte/abtweiler/,Rheinland-Pfalz
Acht,Ortsgemeinde,https://de.wikipedia.org/wiki/Acht_(Eifel),http://www.acht-eifel.de//,Rheinland-Pfalz
Achtelsbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Achtelsbach,https://www.achtelsbach.de/,Rheinland-Pfalz
Adenau,Verbandsangehörige Stadt,https://de.wikipedia.org/wiki/Adenau,https://www.stadt-adenau.de/,Rheinland-Pfalz
Adenbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Adenbach,https://www.vg-lw.de/,Rheinland-Pfalz
Affler,Ortsgemeinde,https://de.wikipedia.org/wiki/Affler,https://www.vg-suedeifel.de/gemeinden/unsere-gemeinden/ortsgemeinden/affler/,Rheinland-Pfalz
Ahrbrück,Ortsgemeinde,https://de.wikipedia.org/wiki/Ahrbrück,https://www.gemeinde-ahrbrueck.de/,Rheinland-Pfalz
Ailertchen,Ortsgemeinde,https://de.wikipedia.org/wiki/Ailertchen,http://www.vg-westerburg.de/,Rheinland-Pfalz
Albersweiler,Ortsgemeinde,https://de.wikipedia.org/wiki/Albersweiler,http://albersweiler.de/,Rheinland-Pfalz
Albessen,Ortsgemeinde,https://de.wikipedia.org/wiki/Albessen,http://vg-kusel-altenglan.de/,Rheinland-Pfalz
Albig,Ortsgemeinde,https://de.wikipedia.org/wiki/Albig,https://www.ortsgemeinde-albig.de/,Rheinland-Pfalz
Albisheim (Pfrimm),Ortsgemeinde,https://de.wikipedia.org/wiki/Albisheim_(Pfrimm),https://albisheim.de/,Rheinland-Pfalz
Alf,Ortsgemeinde,https://de.wikipedia.org/wiki/Alf_(Gemeinde),https://www.alf-mosel.de/,Rheinland-Pfalz
Alflen,Ortsgemeinde,https://de.wikipedia.org/wiki/Alflen,http://www.alflen.de/,Rheinland-Pfalz
Alken,Ortsgemeinde,https://de.wikipedia.org/wiki/Alken_(Untermosel),https://alken.de/,Rheinland-Pfalz
Allenbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Allenbach,https://allenbach-hunsrueck.de/,Rheinland-Pfalz
Allendorf,Ortsgemeinde,https://de.wikipedia.org/wiki/Allendorf_(Rhein-Lahn-Kreis),https://www.vg-aar-einrich.de/ortsgemeinden/allendorf/,Rheinland-Pfalz
Allenfeld,Ortsgemeinde,https://de.wikipedia.org/wiki/Allenfeld,https://www.vg-ruedesheim.de/ortsgemeinden/allenfeld/,Rheinland-Pfalz
Almersbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Almersbach,https://almersbach.de/,Rheinland-Pfalz
Alpenrod,Ortsgemeinde,https://de.wikipedia.org/wiki/Alpenrod,https://www.alpenrod.de/,Rheinland-Pfalz
Alsbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Alsbach_(Westerwald),https://alsbach.de/,Rheinland-Pfalz
Alsdorf,Ortsgemeinde,https://de.wikipedia.org/wiki/Alsdorf_(Eifel),https://www.vg-suedeifel.de/gemeinden/unsere-gemeinden/ortsgemeinden/alsdorf/,Rheinland-Pfalz
Alsdorf,Ortsgemeinde,https://de.wikipedia.org/wiki/Alsdorf_(Westerwald),https://www.vg-bg.de/buergernah/gemeinden/ortsgemeinde-alsdorf/,Rheinland-Pfalz
Alsenz,Ortsgemeinde,https://de.wikipedia.org/wiki/Alsenz,http://www.alsenz.de/,Rheinland-Pfalz
Alsheim,Ortsgemeinde,https://de.wikipedia.org/wiki/Alsheim,https://www.alsheim.de/,Rheinland-Pfalz
Altdorf,Ortsgemeinde,https://de.wikipedia.org/wiki/Altdorf_(Pfalz),https://www.altdorf-pfalz.de/,Rheinland-Pfalz
Altenahr,Ortsgemeinde,https://de.wikipedia.org/wiki/Altenahr,https://www.altenahr-ahr.de/,Rheinland-Pfalz
Altenbamberg,Ortsgemeinde,https://de.wikipedia.org/wiki/Altenbamberg,https://www.altenbamberg.com/,Rheinland-Pfalz
Altendiez,Ortsgemeinde,https://de.wikipedia.org/wiki/Altendiez,https://altendiez.de/,Rheinland-Pfalz
Altenglan,Ortsgemeinde,https://de.wikipedia.org/wiki/Altenglan,http://vg-kusel-altenglan.de/,Rheinland-Pfalz
Altenkirchen,Ortsgemeinde,https://de.wikipedia.org/wiki/Altenkirchen_(Pfalz),http://www.altenkirchen-pfalz.de/,Rheinland-Pfalz
Altenkirchen (Westerwald),Verbandsangehörige Stadt,https://de.wikipedia.org/wiki/Altenkirchen_(Westerwald),https://www.altenkirchen.de/,Rheinland-Pfalz
Alterkülz,Ortsgemeinde,https://de.wikipedia.org/wiki/Alterkülz,https://www.alterkülz.de/,Rheinland-Pfalz
Althornbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Althornbach,http://www.vgzwland.de/,Rheinland-Pfalz
Altlay,Ortsgemeinde,https://de.wikipedia.org/wiki/Altlay,https://www.altlay.de/,Rheinland-Pfalz
Altleiningen,Ortsgemeinde,https://de.wikipedia.org/wiki/Altleiningen,https://www.vg-l.de/ortsgemeinden/altleiningen/,Rheinland-Pfalz
Altrich,Ortsgemeinde,https://de.wikipedia.org/wiki/Altrich,https://www.altrich.de/,Rheinland-Pfalz
Altrip,Ortsgemeinde,https://de.wikipedia.org/wiki/Altrip,http://www.altrip.de/,Rheinland-Pfalz
Altscheid,Ortsgemeinde,https://de.wikipedia.org/wiki/Altscheid,https://www.vg-suedeifel.de/gemeinden/unsere-gemeinden/ortsgemeinden/altscheid/,Rheinland-Pfalz
Altstrimmig,Ortsgemeinde,https://de.wikipedia.org/wiki/Altstrimmig,http://www.altstrimmig.de/,Rheinland-Pfalz
Altweidelbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Altweidelbach,https://altweidelbach.de/,Rheinland-Pfalz
Alzey,Verbandsfreie Stadt,https://de.wikipedia.org/wiki/Alzey,https://www.alzey.de/,Rheinland-Pfalz
Ammeldingen an der Our,Ortsgemeinde,https://de.wikipedia.org/wiki/Ammeldingen_an_der_Our,https://www.vg-suedeifel.de/gemeinden/unsere-gemeinden/ortsgemeinden/ammeldingen-an-der-our/,Rheinland-Pfalz
Ammeldingen bei Neuerburg,Ortsgemeinde,https://de.wikipedia.org/wiki/Ammeldingen_bei_Neuerburg,https://www.ammeldingen.de/,Rheinland-Pfalz
Andernach,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Andernach,https://www.andernach.de/,Rheinland-Pfalz
Anhausen,Ortsgemeinde,https://de.wikipedia.org/wiki/Anhausen,https://www.anhausen.de/,Rheinland-Pfalz
Annweiler am Trifels,Verbandsangehörige Stadt,https://de.wikipedia.org/wiki/Annweiler_am_Trifels,http://www.annweiler.de/de/,Rheinland-Pfalz
Anschau,Ortsgemeinde,https://de.wikipedia.org/wiki/Anschau,https://anschau-eifel.de/,Rheinland-Pfalz
Antweiler,Ortsgemeinde,https://de.wikipedia.org/wiki/Antweiler,https://www.antweiler.de/,Rheinland-Pfalz
Appenheim,Ortsgemeinde,https://de.wikipedia.org/wiki/Appenheim,https://www.appenheim.de/,Rheinland-Pfalz
Arbach,Ortsgemeinde,https://de.wikipedia.org/wiki/Arbach,https://www.vgv-kelberg.de/,Rheinland-Pfalz
Aremberg,Ortsgemeinde,https://de.wikipedia.org/wiki/Aremberg,http://www.aremberg.de/,Rheinland-Pfalz
Arenrath,Ortsgemeinde,https://de.wikipedia.org/wiki/Arenrath,https://www.gemeinde-arenrath.de/,Rheinland-Pfalz
Arft,Ortsgemeinde,https://de.wikipedia.org/wiki/Arft,https://www.arft.eu/,Rheinland-Pfalz
Argenschwang,Ortsgemeinde,https://de.wikipedia.org/wiki/Argenschwang,https://argenschwang.de/,Rheinland-Pfalz
Argenthal,Ortsgemeinde,https://de.wikipedia.org/wiki/Argenthal,https://argenthal.de/,Rheinland-Pfalz
Armsheim,Ortsgemeinde,https://de.wikipedia.org/wiki/Armsheim,https://www.armsheim.de/,Rheinland-Pfalz
