name,typ,quelle_url,webseite,bundesland
Beckingen,Gemeinde,https://de.wikipedia.org/wiki/Beckingen,https://www.beckingen.de/,Saarland
Bexbach,Stadt,https://de.wikipedia.org/wiki/Bexbach,https://www.bexbach.de/,Saarland
Blieskastel,Stadt,https://de.wikipedia.org/wiki/Blieskastel,https://www.blieskastel.de/,Saarland
Bous,Gemeinde,https://de.wikipedia.org/wiki/Bous_(Saar),https://www.bous.de/,Saarland
Dillingen/Saar,Stadt,https://de.wikipedia.org/wiki/Dillingen/Saar,https://www.dillingen-saar.de/,Saarland
Ensdorf,Gemeinde,https://de.wikipedia.org/wiki/Ensdorf_(Saar),https://www.gemeinde-ensdorf.de/,Saarland
Eppelborn,Gemeinde,https://de.wikipedia.org/wiki/Eppelborn,https://www.eppelborn.de/,Saarland
Freisen,Gemeinde,https://de.wikipedia.org/wiki/Freisen,https://www.freisen.de/,Saarland
Friedrichsthal,Stadt,https://de.wikipedia.org/wiki/Friedrichsthal_(Saar),https://www.friedrichsthal.de/,Saarland
Gersheim,Gemeinde,https://de.wikipedia.org/wiki/Gersheim,https://gersheim.de/,Saarland
Großrosseln,Gemeinde,https://de.wikipedia.org/wiki/Großrosseln,https://www.grossrosseln.de/,Saarland
Heusweiler,Gemeinde,https://de.wikipedia.org/wiki/Heusweiler,https://www.heusweiler.de/,Saarland
Homburg,Stadt,https://de.wikipedia.org/wiki/Homburg,https://www.homburg.de/,Saarland
Illingen,Gemeinde,https://de.wikipedia.org/wiki/Illingen_(Saar),https://www.illingen.de/,Saarland
Kirkel,Gemeinde,https://de.wikipedia.org/wiki/Kirkel,https://www.kirkel.de/,Saarland
Kleinblittersdorf,Gemeinde,https://de.wikipedia.org/wiki/Kleinblittersdorf,https://www.kleinblittersdorf.de/,Saarland
Lebach,Stadt,https://de.wikipedia.org/wiki/Lebach,https://www.lebach.de/,Saarland
Losheim am See,Gemeinde,https://de.wikipedia.org/wiki/Losheim_am_See,https://www.losheim.de/,Saarland
Mandelbachtal,Gemeinde,https://de.wikipedia.org/wiki/Mandelbachtal,https://www.mandelbachtal.de/,Saarland
Marpingen,Gemeinde,https://de.wikipedia.org/wiki/Marpingen,https://marpingen.de/,Saarland
Merchweiler,Gemeinde,https://de.wikipedia.org/wiki/Merchweiler,https://www.merchweiler.de/,Saarland
Merzig,Stadt,https://de.wikipedia.org/wiki/Merzig,https://www.merzig.de/,Saarland
Mettlach,Gemeinde,https://de.wikipedia.org/wiki/Mettlach,https://www.mettlach.de/,Saarland
Nalbach,Gemeinde,https://de.wikipedia.org/wiki/Nalbach,https://www.nalbach.de/,Saarland
Namborn,Gemeinde,https://de.wikipedia.org/wiki/Namborn,https://www.namborn.de/,Saarland
Neunkirchen,Stadt,https://de.wikipedia.org/wiki/Neunkirchen_(Saar),https://www.neunkirchen.de/,Saarland
Nohfelden,Gemeinde,https://de.wikipedia.org/wiki/Nohfelden,https://www.nohfelden.de/,Saarland
Nonnweiler,Gemeinde,https://de.wikipedia.org/wiki/Nonnweiler,https://www.nonnweiler.de/,Saarland
Oberthal,Gemeinde,https://de.wikipedia.org/wiki/Oberthal_(Saar),https://www.oberthal.de/,Saarland
Ottweiler,Stadt,https://de.wikipedia.org/wiki/Ottweiler,https://ottweiler.de/,Saarland
Perl,Gemeinde,https://de.wikipedia.org/wiki/Perl_(Mosel),https://perl.saarland/,Saarland
Püttlingen,Stadt,https://de.wikipedia.org/wiki/Püttlingen,https://www.puettlingen.de/,Saarland
Quierschied,Gemeinde,https://de.wikipedia.org/wiki/Quierschied,https://www.quierschied.de/,Saarland
Rehlingen-Siersburg,Gemeinde,https://de.wikipedia.org/wiki/Rehlingen-Siersburg,https://www.rehlingen-siersburg.de/,Saarland
Riegelsberg,Gemeinde,https://de.wikipedia.org/wiki/Riegelsberg,https://www.riegelsberg.eu/,Saarland
Saarbrücken,Landeshauptstadt,https://de.wikipedia.org/wiki/Saarbrücken,https://www.saarbruecken.de/,Saarland
Saarlouis,Stadt,https://de.wikipedia.org/wiki/Saarlouis,https://www.saarlouis.de/,Saarland
Saarwellingen,Gemeinde,https://de.wikipedia.org/wiki/Saarwellingen,https://www.saarwellingen.de/,Saarland
Schiffweiler,Gemeinde,https://de.wikipedia.org/wiki/Schiffweiler,https://www.schiffweiler.de/,Saarland
Schmelz,Gemeinde,https://de.wikipedia.org/wiki/Schmelz_(Saar),https://www.schmelz.de/,Saarland
Schwalbach,Gemeinde,https://de.wikipedia.org/wiki/Schwalbach_(Saar),https://www.schwalbach-saar.de/,Saarland
Spiesen-Elversberg,Gemeinde,https://de.wikipedia.org/wiki/Spiesen-Elversberg,https://www.spiesen-elversberg.de/,Saarland
St. Ingbert,Stadt,https://de.wikipedia.org/wiki/St._Ingbert,https://www.st-ingbert.de/,Saarland
St. Wendel,Stadt,https://de.wikipedia.org/wiki/St._Wendel,https://www.sankt-wendel.de/,Saarland
Sulzbach/Saar,Stadt,https://de.wikipedia.org/wiki/Sulzbach/Saar,https://www.stadt-sulzbach.de/,Saarland
Tholey,Gemeinde,https://de.wikipedia.org/wiki/Tholey,https://www.tholey.de/,Saarland
Völklingen,Stadt,https://de.wikipedia.org/wiki/Völklingen,https://www.voelklingen.de/,Saarland
Wadern,Stadt,https://de.wikipedia.org/wiki/Wadern,https://ssl.wadern.de/,Saarland
Wadgassen,Gemeinde,https://de.wikipedia.org/wiki/Wadgassen,https://www.wadgassen.de/,Saarland
Wallerfangen,Gemeinde,https://de.wikipedia.org/wiki/Wallerfangen,https://www.wallerfangen.de/,Saarland
Weiskirchen,Gemeinde,https://de.wikipedia.org/wiki/Weiskirchen,https://www.weiskirchen.de/,Saarland
Überherrn,Gemeinde,https://de.wikipedia.org/wiki/Überherrn,https://ueberherrn.de/,Saarland
