name,typ,quelle_url,webseite,bundesland
Adorf/Vogtl.,Stadt,https://de.wikipedia.org/wiki/Adorf/Vogtl.,https://www.adorf-vogtland.de/,Sachsen
Altenberg,Stadt,https://de.wikipedia.org/wiki/Altenberg_(Erzgebirge),https://www.rathaus-altenberg.de/,Sachsen
Altmittweida,Gemeinde,https://de.wikipedia.org/wiki/Altmittweida,https://www.gemeinde-altmittweida.de/,Sachsen
Amtsberg,Gemeinde,https://de.wikipedia.org/wiki/Amtsberg,https://www.amtsberg.eu/,Sachsen
Annaberg-Buchholz,Große Kreisstadt,https://de.wikipedia.org/wiki/Annaberg-Buchholz,https://www.annaberg-buchholz.de/,Sachsen
Arnsdorf,Gemeinde,https://de.wikipedia.org/wiki/Arnsdorf,https://www.gemeindearnsdorf.de/,Sachsen
Arzberg,Gemeinde,https://de.wikipedia.org/wiki/Arzberg_(Sachsen),https://www.gemeinde-arzberg.de/,Sachsen
Aue-Bad Schlema,Große Kreisstadt,https://de.wikipedia.org/wiki/Aue-Bad_Schlema,https://www.aue-badschlema.de/,Sachsen
Auerbach,Gemeinde,https://de.wikipedia.org/wiki/Auerbach_(Erzgebirge),https://www.auerbach-erzgebirge.de/,Sachsen
Auerbach/Vogtl.,Große Kreisstadt,https://de.wikipedia.org/wiki/Auerbach/Vogtl.,https://www.stadt-auerbach.de/,Sachsen
Augustusburg,Stadt,https://de.wikipedia.org/wiki/Augustusburg,https://augustusburg.de/,Sachsen
Bad Brambach,Gemeinde,https://de.wikipedia.org/wiki/Bad_Brambach,https://www.bad-brambach.de/,Sachsen
Bad Düben,Stadt,https://de.wikipedia.org/wiki/Bad_Düben,https://www.bad-dueben.de/,Sachsen
Bad Elster,Stadt,https://de.wikipedia.org/wiki/Bad_Elster,https://badelster.de/,Sachsen
Bad Gottleuba-Berggießhübel,Stadt,https://de.wikipedia.org/wiki/Bad_Gottleuba-Berggießhübel,https://www.stadt-bgb.de/,Sachsen
Bad Lausick,Stadt,https://de.wikipedia.org/wiki/Bad_Lausick,https://www.bad-lausick.de/,Sachsen
Bad Muskau,Stadt,https://de.wikipedia.org/wiki/Bad_Muskau,https://www.badmuskau.de/,Sachsen
Bad Schandau,Stadt,https://de.wikipedia.org/wiki/Bad_Schandau,https://www.bad-schandau.de/,Sachsen
Bahretal,Gemeinde,https://de.wikipedia.org/wiki/Bahretal,https://gemeinde-bahretal.de/,Sachsen
Bannewitz,Gemeinde,https://de.wikipedia.org/wiki/Bannewitz,https://www.bannewitz.de/,Sachsen
Bautzen,Große Kreisstadt,https://de.wikipedia.org/wiki/Bautzen,https://www.bautzen.de/,Sachsen
Beiersdorf,Gemeinde,https://de.wikipedia.org/wiki/Beiersdorf,https://www.beiersdorf-ol.de/,Sachsen
Beilrode,Gemeinde,https://de.wikipedia.org/wiki/Beilrode,https://www.beilrode.de/,Sachsen
Belgern-Schildau,Stadt,https://de.wikipedia.org/wiki/Belgern-Schildau,https://www.belgernschildau.de/,Sachsen
Belgershain,Gemeinde,https://de.wikipedia.org/wiki/Belgershain,https://belgershain.de/,Sachsen
Bennewitz,Gemeinde,https://de.wikipedia.org/wiki/Bennewitz,https://www.gemeinde-bennewitz.de/,Sachsen
Bergen,Gemeinde,https://de.wikipedia.org/wiki/Bergen_(Vogtland),http://www.bergen-vogtland.de/,Sachsen
Bernsdorf,Gemeinde,https://de.wikipedia.org/wiki/Bernsdorf_(Landkreis_Zwickau),https://www.bernsdorf-erzgebirge.de/,Sachsen
Bernsdorf,Stadt,https://de.wikipedia.org/wiki/Bernsdorf_(Oberlausitz),https://www.bernsdorf.de/,Sachsen
Bernstadt a. d. Eigen,Stadt,https://de.wikipedia.org/wiki/Bernstadt_a._d._Eigen,https://bernstadt.de/,Sachsen
Bertsdorf-Hörnitz,Gemeinde,https://de.wikipedia.org/wiki/Bertsdorf-Hörnitz,https://www.bertsdorf-hörnitz.de/,Sachsen
Bischofswerda,Große Kreisstadt,https://de.wikipedia.org/wiki/Bischofswerda,https://www.bischofswerda.de/,Sachsen
Bobritzsch-Hilbersdorf,Gemeinde,https://de.wikipedia.org/wiki/Bobritzsch-Hilbersdorf,https://www.bobritzsch-hilbersdorf.de/,Sachsen
