name,typ,quelle_url,webseite,bundesland
Ahlsdorf,Gemeinde,https://de.wikipedia.org/wiki/Ahlsdorf,https://www.verwaltungsamt-helbra.de/gemeinden/ahlsdorf/,Sachsen-Anhalt
Aken (Elbe),Stadt,https://de.wikipedia.org/wiki/Aken_(Elbe),https://www.aken.de/,Sachsen-Anhalt
Aland,Gemeinde,https://de.wikipedia.org/wiki/Aland_(Altmark),https://www.seehausen-altmark.de/service-verwaltung/gemeinden-politik/mitgliedsgemeinden/gemeinde-aland/,Sachsen-Anhalt
Allstedt,Stadt,https://de.wikipedia.org/wiki/Allstedt,https://allstedt.de/,Sachsen-Anhalt
Alsleben (Saale),Stadt,https://de.wikipedia.org/wiki/Alsleben_(Saale),https://www.alsleben-saale-online.de/,Sachsen-Anhalt
Altenhausen,Gemeinde,https://de.wikipedia.org/wiki/Altenhausen,https://www.vg-flechtingen.de/rathaus/verbandsgemeinde/mitgliedsgemeinden/altenhausen,Sachsen-Anhalt
Altmärkische Höhe,Gemeinde,https://de.wikipedia.org/wiki/Altmärkische_Höhe,https://www.seehausen-altmark.de/content-pages/verwaltung-wirtschaft/mitgliedsgemeinden/altmaerkische-hoehe/,Sachsen-Anhalt
Altmärkische Wische,Gemeinde,https://de.wikipedia.org/wiki/Altmärkische_Wische,https://www.seehausen-altmark.de/content-pages/verwaltung-wirtschaft/mitgliedsgemeinden/altmaerkische-wische/,Sachsen-Anhalt
Am Großen Bruch,Gemeinde,https://de.wikipedia.org/wiki/Am_Großen_Bruch,https://www.westlicheboerde.de/B%C3%BCrger-Gemeinde/Verbandsgemeinde/Gemeinde-Am-Gro%C3%9Fen-Bruch/,Sachsen-Anhalt
An der Poststraße,Gemeinde,https://de.wikipedia.org/wiki/An_der_Poststraße,https://www.vgem-finne.de/webNC/de/content/content.php?areaID=4&menuID=1&active_menu=1&vhm=&area=Gemeinden&menu=Gemeinde%20An%20der%20Poststra%DFe&content=,Sachsen-Anhalt
Angern,Gemeinde,https://de.wikipedia.org/wiki/Angern,https://www.gemeindeangern.de/,Sachsen-Anhalt
Annaburg,Stadt,https://de.wikipedia.org/wiki/Annaburg,https://annaburg.info/,Sachsen-Anhalt
Apenburg-Winterfeld,Gemeinde,https://de.wikipedia.org/wiki/Apenburg-Winterfeld,https://flecken-apenburg-winterfeld.de/,Sachsen-Anhalt
Arendsee (Altmark),Stadt,https://de.wikipedia.org/wiki/Arendsee_(Altmark),https://arendsee.info/,Sachsen-Anhalt
Arneburg,Stadt,https://de.wikipedia.org/wiki/Arneburg,https://www.stadt-arneburg.de/,Sachsen-Anhalt
Arnstein,Stadt,https://de.wikipedia.org/wiki/Arnstein_(Sachsen-Anhalt),https://www.arnstein-harz.de/,Sachsen-Anhalt
Aschersleben,Stadt,https://de.wikipedia.org/wiki/Aschersleben,https://www.aschersleben.de/,Sachsen-Anhalt
Ausleben,Gemeinde,https://de.wikipedia.org/wiki/Ausleben,https://www.westlicheboerde.de/B%C3%BCrger-Gemeinde/Verbandsgemeinde/Gemeinde-Ausleben/,Sachsen-Anhalt
Bad Bibra,Stadt,https://de.wikipedia.org/wiki/Bad_Bibra,https://www.vgem-finne.de/webNC/de/content/content.php?areaID=4&menuID=2&active_menu=2&vhm=&area=Gemeinden&menu=Stadt%20Bad%20Bibra&content=,Sachsen-Anhalt
Bad Dürrenberg,Stadt,https://de.wikipedia.org/wiki/Bad_Dürrenberg,https://www.badduerrenberg.de/,Sachsen-Anhalt
Bad Lauchstädt,Stadt,https://de.wikipedia.org/wiki/Bad_Lauchstädt,https://www.goethestadt-bad-lauchstaedt.de/,Sachsen-Anhalt
Bad Schmiedeberg,Stadt,https://de.wikipedia.org/wiki/Bad_Schmiedeberg,https://www.bad-schmiedeberg.de/,Sachsen-Anhalt
Balgstädt,Gemeinde,https://de.wikipedia.org/wiki/Balgstädt,https://www.verbgem-unstruttal.de/de/gemeinde-balgstaedt.html,Sachsen-Anhalt
Ballenstedt,Stadt,https://de.wikipedia.org/wiki/Ballenstedt,https://www.ballenstedt.de/,Sachsen-Anhalt
Barby,Stadt,https://de.wikipedia.org/wiki/Barby,https://www.stadt-barby.de/,Sachsen-Anhalt
Barleben,Gemeinde,https://de.wikipedia.org/wiki/Barleben,https://www.barleben.de/,Sachsen-Anhalt
Barnstädt,Gemeinde,https://de.wikipedia.org/wiki/Barnstädt,https://www.weida-land.de/de/gemeinde-barnstaedt.html,Sachsen-Anhalt
Beendorf,Gemeinde,https://de.wikipedia.org/wiki/Beendorf,https://beendorf.com/,Sachsen-Anhalt
Beetzendorf,Gemeinde,https://de.wikipedia.org/wiki/Beetzendorf,https://www.beetzendorf.net/,Sachsen-Anhalt
Benndorf,Gemeinde,https://de.wikipedia.org/wiki/Benndorf,https://www.verwaltungsamt-helbra.de/gemeinden/benndorf/,Sachsen-Anhalt
Berga (Kyffhäuser),Gemeinde,https://de.wikipedia.org/wiki/Berga_(Kyffhäuser),https://www.vwg-goldene-aue.de/verzeichnis/objekt.php?mandat=38146,Sachsen-Anhalt
Bernburg (Saale),Stadt,https://de.wikipedia.org/wiki/Bernburg_(Saale),https://www.bernburg.de/,Sachsen-Anhalt
Biederitz,Gemeinde,https://de.wikipedia.org/wiki/Biederitz,https://www.gemeinde-biederitz.de/,Sachsen-Anhalt
Bismark (Altmark),Stadt,https://de.wikipedia.org/wiki/Bismark_(Altmark),https://www.stadt-bismark.de/,Sachsen-Anhalt
Bitterfeld-Wolfen,Stadt,https://de.wikipedia.org/wiki/Bitterfeld-Wolfen,https://www.bitterfeld-wolfen.de/,Sachsen-Anhalt
Blankenburg (Harz),Stadt,https://de.wikipedia.org/wiki/Blankenburg_(Harz),https://www.blankenburg.de/,Sachsen-Anhalt
Blankenheim,Gemeinde,https://de.wikipedia.org/wiki/Blankenheim_(Landkreis_Mansfeld-Südharz),https://www.verwaltungsamt-helbra.de/gemeinden/blankenheim/,Sachsen-Anhalt
Borne,Gemeinde,https://de.wikipedia.org/wiki/Borne_(bei_Staßfurt),https://www.borne-slk.de/,Sachsen-Anhalt
Bornstedt,Gemeinde,https://de.wikipedia.org/wiki/Bornstedt_(bei_Eisleben),https://www.verwaltungsamt-helbra.de/gemeinden/bornstedt/,Sachsen-Anhalt
Braunsbedra,Stadt,https://de.wikipedia.org/wiki/Braunsbedra,https://www.braunsbedra.de/,Sachsen-Anhalt
Brücken-Hackpfüffel,Gemeinde,https://de.wikipedia.org/wiki/Brücken-Hackpfüffel,http://www.bruecken-hackpfueffel.de/,Sachsen-Anhalt
Burg,Stadt,https://de.wikipedia.org/wiki/Burg_(bei_Magdeburg),https://www.stadtburg.info/,Sachsen-Anhalt
Burgstall,Gemeinde,https://de.wikipedia.org/wiki/Burgstall_(Landkreis_Börde),https://www.elbe-heide.de/verzeichnis/objekt.php?mandat=80852,Sachsen-Anhalt
Börde-Hakel,Gemeinde,https://de.wikipedia.org/wiki/Börde-Hakel,https://www.gemeinde-boerdehakel.de/,Sachsen-Anhalt
Bördeaue,Gemeinde,https://de.wikipedia.org/wiki/Bördeaue,https://www.gemeinde-boerdeaue.de/,Sachsen-Anhalt
Bördeland,Gemeinde,https://de.wikipedia.org/wiki/Bördeland,https://www.gem-boerdeland.de/,Sachsen-Anhalt
Bülstringen,Gemeinde,https://de.wikipedia.org/wiki/Bülstringen,https://www.gemeinde-buelstringen.de/,Sachsen-Anhalt
Calbe (Saale),Stadt,https://de.wikipedia.org/wiki/Calbe_(Saale),https://www.calbe.de/,Sachsen-Anhalt
Calvörde,Gemeinde,https://de.wikipedia.org/wiki/Calvörde,https://www.calvoerde.de/,Sachsen-Anhalt
Colbitz,Gemeinde,https://de.wikipedia.org/wiki/Colbitz,https://www.gemeinde-colbitz.de/,Sachsen-Anhalt
Coswig (Anhalt),Stadt,https://de.wikipedia.org/wiki/Coswig_(Anhalt),https://www.coswigonline.de/,Sachsen-Anhalt
Dessau-Roßlau,Kreisfreie Stadt,https://de.wikipedia.org/wiki/Dessau-Roßlau,https://verwaltung.dessau-rosslau.de/,Sachsen-Anhalt
Diesdorf,Gemeinde,https://de.wikipedia.org/wiki/Diesdorf,https://www.diesdorf.de/,Sachsen-Anhalt
Ditfurt,Gemeinde,https://de.wikipedia.org/wiki/Ditfurt,https://www.ditfurt.de/,Sachsen-Anhalt
Droyßig,Gemeinde,https://de.wikipedia.org/wiki/Droyßig,https://www.vgem-dzf.de/de/droyssig.html,Sachsen-Anhalt
Dähre,Gemeinde,https://de.wikipedia.org/wiki/Dähre,https://gemeinde-daehre.de/,Sachsen-Anhalt
Eckartsberga,Stadt,https://de.wikipedia.org/wiki/Eckartsberga,https://www.vgem-finne.de/webNC/de/content/content.php?areaID=4&menuID=3&active_menu=3&vhm=&area=Gemeinden&menu=Stadt%20Eckartsberga&content=,Sachsen-Anhalt
Edersleben,Gemeinde,https://de.wikipedia.org/wiki/Edersleben,https://www.vwg-goldene-aue.de/verzeichnis/objekt.php?mandat=38304,Sachsen-Anhalt
Egeln,Stadt,https://de.wikipedia.org/wiki/Egeln,https://www.egeln.info/,Sachsen-Anhalt
Eichstedt (Altmark),Gemeinde,https://de.wikipedia.org/wiki/Eichstedt_(Altmark),https://www.arneburg-goldbeck.de/leben-wohnen/staedte-und-gemeinden/eichstedt-altmark/,Sachsen-Anhalt
Eilsleben,Gemeinde,https://de.wikipedia.org/wiki/Eilsleben,https://www.gemeinde-eilsleben.de/,Sachsen-Anhalt
"Eisleben, Lutherstadt",Stadt,https://de.wikipedia.org/wiki/Lutherstadt_Eisleben,https://www.eisleben.eu/,Sachsen-Anhalt
Elbe-Parey,Gemeinde,https://de.wikipedia.org/wiki/Elbe-Parey,https://www.elbe-parey.de/,Sachsen-Anhalt
Elsteraue,Gemeinde,https://de.wikipedia.org/wiki/Elsteraue,https://www.gemeinde-elsteraue.de/,Sachsen-Anhalt
Erxleben,Gemeinde,https://de.wikipedia.org/wiki/Erxleben_(Landkreis_Börde),http://www.gemeinde-erxleben.de/,Sachsen-Anhalt
Falkenstein/Harz,Stadt,https://de.wikipedia.org/wiki/Falkenstein/Harz,https://www.falkenstein-harz.de/,Sachsen-Anhalt
Farnstädt,Gemeinde,https://de.wikipedia.org/wiki/Farnstädt,https://www.weida-land.de/de/gemeinde-farnstaedt.html,Sachsen-Anhalt
Finne,Gemeinde,https://de.wikipedia.org/wiki/Finne_(Gemeinde),https://www.vgem-finne.de/webNC/de/content/content.php?areaID=4&menuID=4&active_menu=4&vhm=&area=Gemeinden&menu=Gemeinde%20Finne&content=,Sachsen-Anhalt
Finneland,Gemeinde,https://de.wikipedia.org/wiki/Finneland,https://www.vgem-finne.de/webNC/de/content/content.php?areaID=4&menuID=5&active_menu=5&vhm=&area=Gemeinden&menu=Gemeinde%20Finneland&content=,Sachsen-Anhalt
