name,typ,quelle_url,webseite,bundesland
Aasbüttel,Gemeinde,https://de.wikipedia.org/wiki/Aasbüttel,https://www.gemeinde-aasbuettel.de/,Schleswig-Holstein
Achterwehr,Gemeinde,https://de.wikipedia.org/wiki/Achterwehr,https://www.achterwehr.de/,Schleswig-Holstein
Achtrup,Gemeinde,https://de.wikipedia.org/wiki/Achtrup,https://www.achtrup.de/,Schleswig-Holstein
Aebtissinwisch,Gemeinde,https://de.wikipedia.org/wiki/Aebtissinwisch,https://www.wilster.de/amt-stadt-und-gemeinden/ueber-uns/ueber-die-gemeinden/aebtissinwisch,Schleswig-Holstein
Agethorst,Gemeinde,https://de.wikipedia.org/wiki/Agethorst,https://www.agethorst.de/,Schleswig-Holstein
Ahlefeld-Bistensee,Gemeinde,https://de.wikipedia.org/wiki/Ahlefeld-Bistensee,https://www.amt-huettener-berge.de/gemeinden/ahlenfeld-bistensee,Schleswig-Holstein
Ahneby,Gemeinde,https://de.wikipedia.org/wiki/Ahneby,https://www.ahneby.de/,Schleswig-Holstein
Ahrensburg,Amtsfreie Stadt,https://de.wikipedia.org/wiki/Ahrensburg,https://www.ahrensburg.de/,Schleswig-Holstein
Ahrensbök,Amtsfreie Gemeinde,https://de.wikipedia.org/wiki/Ahrensbök,https://www.ahrensboek.de/,Schleswig-Holstein
Ahrenshöft,Gemeinde,https://de.wikipedia.org/wiki/Ahrenshöft,https://www.ahrenshoeft.de/,Schleswig-Holstein
Ahrenviöl,Gemeinde,https://de.wikipedia.org/wiki/Ahrenviöl,https://ahrenvioel.de/,Schleswig-Holstein
Ahrenviölfeld,Gemeinde,https://de.wikipedia.org/wiki/Ahrenviölfeld,https://ahrenvioelfeld.de/,Schleswig-Holstein
Albersdorf,Gemeinde,https://de.wikipedia.org/wiki/Albersdorf_(Holstein),https://www.albersdorf.de/,Schleswig-Holstein
Albsfelde,Gemeinde,https://de.wikipedia.org/wiki/Albsfelde,https://amt-lauenburgische-seen.de/die-gemeinde.html,Schleswig-Holstein
Alkersum,Gemeinde,https://de.wikipedia.org/wiki/Alkersum,http://www.alkersum.de/,Schleswig-Holstein
Almdorf,Gemeinde,https://de.wikipedia.org/wiki/Almdorf,http://www.almdorf.de/,Schleswig-Holstein
Alt Bennebek,Gemeinde,https://de.wikipedia.org/wiki/Alt_Bennebek,http://www.alt-bennebek.de/,Schleswig-Holstein
Alt Duvenstedt,Gemeinde,https://de.wikipedia.org/wiki/Alt_Duvenstedt,https://www.alt-duvenstedt.de/,Schleswig-Holstein
