name,typ,quelle_url,webseite,bundesland
Abtsbessingen,Gemeinde,https://de.wikipedia.org/wiki/Abtsbessingen,,Thüringen
Ahlstädt,Gemeinde,https://de.wikipedia.org/wiki/Ahlstädt,https://www.verwaltungsgemeinschaft-feldstein.de/verzeichnis/objekt.php?mandat=99451,Thüringen
Albersdorf,Gemeinde,https://de.wikipedia.org/wiki/Albersdorf_(Thüringen),https://www.bad-klosterlausnitz.de/erfuellende-gemeinde-fuer/albersdorf/,Thüringen
Alkersleben,Gemeinde,https://de.wikipedia.org/wiki/Alkersleben,https://www.vg-riechheimer-berg.de/mitgliedsgemeinden,Thüringen
Allendorf,Gemeinde,https://de.wikipedia.org/wiki/Allendorf_(Thüringen),,Thüringen
Alperstedt,Gemeinde,https://de.wikipedia.org/wiki/Alperstedt,,Thüringen
Altenberga,Gemeinde,https://de.wikipedia.org/wiki/Altenberga,https://www.vg-suedliches-saaletal.de/verzeichnis/visitenkarte.php?mandat=250484#content,Thüringen
Altenbeuthen,Gemeinde,https://de.wikipedia.org/wiki/Altenbeuthen,https://www.kaulsdorf-saale.de/seite/395365/geschichte.html,Thüringen
Altenburg,Große kreisangehörige Stadt,https://de.wikipedia.org/wiki/Altenburg,https://www.stadt-altenburg.de/,Thüringen
Am Ettersberg,Landgemeinde,https://de.wikipedia.org/wiki/Am_Ettersberg,https://www.am-ettersberg.de/,Thüringen
Am Ohmberg,Landgemeinde,https://de.wikipedia.org/wiki/Am_Ohmberg,https://am-ohmberg.de/,Thüringen
Amt Creuzburg,Stadt,https://de.wikipedia.org/wiki/Amt_Creuzburg,https://amt-creuzburg.de/,Thüringen
Amt Wachsenburg,Gemeinde,https://de.wikipedia.org/wiki/Amt_Wachsenburg,https://www.amt-wachsenburg.de/,Thüringen
An der Schmücke,Landgemeinde (Stadt),https://de.wikipedia.org/wiki/An_der_Schmücke,https://www.stadtanderschmuecke.de/,Thüringen
Andisleben,Gemeinde,https://de.wikipedia.org/wiki/Andisleben,https://www.andisleben.de/,Thüringen
Apolda,Kreisstadt,https://de.wikipedia.org/wiki/Apolda,https://www.apolda.de/,Thüringen
Arenshausen,Gemeinde,https://de.wikipedia.org/wiki/Arenshausen,https://www.vg-hanstein-rusteberg.de/mitgliedsgemeinden/arenshausen,Thüringen
Arnstadt,Kreisstadt,https://de.wikipedia.org/wiki/Arnstadt,https://www.arnstadt.de/,Thüringen
Artern,Landgemeinde (Stadt),https://de.wikipedia.org/wiki/Artern,https://www.artern.de/,Thüringen
Asbach-Sickenberg,Gemeinde,https://de.wikipedia.org/wiki/Asbach-Sickenberg,https://www.lg-uder.de/mitgliedsgemeinden/asbach-sickenberg,Thüringen
Auengrund,Gemeinde,https://de.wikipedia.org/wiki/Auengrund,https://www.auengrund.de/,Thüringen
Auma-Weidatal,Landgemeinde (Stadt),https://de.wikipedia.org/wiki/Auma-Weidatal,https://www.rathaus-auma.de/,Thüringen
